,Support activities for mining,"Data processing, internet publishing, and other information services",Ambulatory health care services,Primary metals,Computer systems design and related services,Apparel and leather and allied products,Nonmetallic mineral products,Farms,"Federal Reserve banks, credit intermediation, and related activities",Nursing and residential care facilities,Pipeline transportation,"Performing arts, spectator sports, museums, and related activities",Food services and drinking places,"Forestry, fishing, and related activities",Plastics and rubber products,Motor vehicle and parts dealers,Water transportation,General merchandise stores,Textile mills and textile product mills,Food and beverage and tobacco products,Insurance carriers and related activities,Management of companies and enterprises,Fabricated metal products,Paper products,Motion picture and sound recording industries,"Securities, commodity contracts, and investments",Computer and electronic products,Petroleum and coal products,Air transportation,Truck transportation,Legal services,Construction,Other transportation and support activities,Administrative and support services,Hospitals,"Miscellaneous professional, scientific, and technical services","Motor vehicles, bodies and trailers, and parts",Transit and ground passenger transportation,"Electrical equipment, appliances, and components",Accommodation,Machinery,Furniture and related products,Wood products,Wholesale trade,Housing,"Other services, except government",Miscellaneous manufacturing,Utilities,Other retail,"Funds, trusts, and other financial vehicles","Amusements, gambling, and recreation industries",Oil and gas extraction,Printing and related support activities,"Publishing industries, except internet (includes software)",Rental and leasing services and lessors of intangible assets,Broadcasting and telecommunications,Chemical products,"Mining, except oil and gas",Other transportation equipment,Warehousing and storage,Other real estate,Food and beverage stores,Social assistance,Educational services,Waste management and remediation services,Rail transportation
Support activities for mining,0.008928667042242822,1.2241855778417724e-05,4.883049409335442e-07,7.867524732949381e-05,4.537959248201431e-06,2.1369056976240534e-05,9.889842636953412e-05,1.4155347722153086e-05,5.821794326482009e-07,3.070078228133698e-07,3.203280539028086e-05,1.5505536424582984e-06,7.911912983588652e-06,4.4541402565841865e-06,6.989000540028091e-05,5.623443152975448e-06,8.010033905993217e-05,8.848943035858293e-07,3.0836752078802366e-05,3.8702672973776474e-05,3.122472477002624e-08,9.351210671838287e-06,0.00023950328187700762,7.577848725947934e-05,5.418823371040896e-07,6.13863634137587e-07,2.3426041455876528e-05,5.186140635978025e-06,9.975292290934462e-07,6.533487580720815e-06,1.894670613954574e-07,0.00011683124894710756,6.355826184206743e-06,6.809513851120868e-06,2.3106892232907163e-06,3.625947173228804e-05,0.00014690594151950281,5.702284571135527e-06,0.00014083366390477104,9.937109025725612e-06,0.00016526935116399706,9.513560792701914e-05,5.344538117677021e-05,3.046539630511068e-06,9.957303647865932e-08,8.759234183414003e-06,7.591650721015437e-05,1.2814559945375524e-05,4.458062497287347e-06,2.6282431737694285e-07,8.270020586458393e-06,0.029056371056963775,3.8216245190610695e-05,6.2177189186251976e-06,5.887985576804247e-06,3.413929106894218e-05,3.4095074230384946e-05,0.01922930432122041,8.518588044604824e-05,8.51750198195836e-06,5.1043314785235515e-06,1.9364868027781812e-06,1.5143951584953103e-05,3.985509900234232e-06,4.713992658242655e-05,1.4612640251857794e-05
"Data processing, internet publishing, and other information services",0.0028675521660347907,0.038464336309582785,0.0035499035984290057,0.004506167867812866,0.007900897742047684,0.003659904946489261,0.005563568310515321,0.00022759209728989122,0.013675044921805957,0.0033816439849316,0.0019272642614120035,0.005015650142761546,0.005434670571010412,0.0006270372545850582,0.005022051138228439,0.015938326148135458,0.0012031579514410345,0.005530014381840547,0.004253841262581235,0.0020908254835734826,0.002119419140858256,0.015146037324794604,0.0064618557264937435,0.004409630353536431,0.004085538498100172,0.008338056600061707,0.0014404568086817699,0.0011121163878374226,0.0007438849315596572,0.0014570970547829562,0.01197851748643205,0.0021605919583420007,0.003828518107603564,0.02601366600476636,0.007099842580055345,0.014273153648922513,0.0010474165788634667,0.001652710239185828,0.002444753342057931,0.005110820779595927,0.003976404339503358,0.007244802119091128,0.006800245325312742,0.0048836237548089976,4.003610188021352e-05,0.012825835811622064,0.005557186462069894,0.0037102186648893375,0.00839280320293492,0.005896846233118204,0.0061195916919568934,0.0010575052551370983,0.004415440364231058,0.010323212979905924,0.013240239938343659,0.00983121067810104,0.001766289570547113,0.001500623533216229,0.0025309249047695123,0.0018154963437131129,0.004899979672729729,0.007114561227984556,0.007855995361454225,0.018594053315530684,0.008742712045368351,0.0016058820001819962
Ambulatory health care services,3.15354296138993e-10,-4.7697881886952736e-08,0.014153589626064278,5.151619569123575e-09,3.110401273457603e-08,2.5151902635334894e-08,2.909997285126693e-08,-1.5706922741360265e-08,-3.629770884377892e-08,0.00039142000911902906,-2.0159465675412764e-08,0.0007479843179220753,5.333711492965082e-09,-2.983935923103386e-09,4.344871102231237e-08,-3.2909720405916914e-08,-1.1944557369837402e-08,-3.8038786373910464e-08,1.8919339114787388e-08,2.0786641077719936e-08,-2.2045298247848725e-08,2.9355433570943607e-08,1.3381394123680627e-08,1.7234183507000257e-09,3.393701849025058e-08,2.8221586024540334e-08,-6.206614719278402e-09,1.330838666785414e-09,3.9970283238655617e-08,-1.1701751704947355e-08,2.5554782489929686e-08,-3.3830359159251946e-08,2.8629736407345103e-08,0.00012721872171938712,0.016532730203299352,3.8177308628753946e-05,2.0224629287520465e-08,-1.032020684916092e-08,2.2107488178596828e-08,2.3037489897574288e-08,3.071106184046569e-08,3.522781798581598e-08,2.101438908896094e-09,4.2011987222569406e-08,-2.9320576890813988e-08,0.00014248351398319693,-1.33041047000808e-09,-2.9980203378925804e-08,-8.007418007103756e-10,4.2176554499412324e-09,1.4437224416089626e-05,-2.2909792248043025e-08,-3.460641567350165e-09,2.446645660216896e-08,1.9237193862402295e-08,2.2948758371596007e-09,-2.338428217543653e-08,1.9355365313552867e-08,-4.403997475939829e-09,3.8107398950513447e-08,-1.0164668396544116e-08,3.7752889971129066e-08,3.279747961083363e-08,3.253325734553912e-08,3.876580751622451e-08,3.783338034064138e-08
Primary metals,0.0045607946749302245,0.0010874739926640222,6.0783935405934165e-05,0.3016048976301039,4.457404537512511e-05,9.264479457762729e-05,0.006479476318739166,0.00045247386878438233,3.9235189769327e-05,0.00010109828134556416,0.0002056649214756321,3.1776384521616495e-05,0.00015640914781773238,0.0002556687165669713,0.006386054370524792,6.988639598573304e-05,0.00016679195834326971,1.6516918305538445e-05,0.006643352203347285,0.005116164420866784,1.5627656300095062e-06,0.00010805025974063666,0.1935525354741821,0.004878059146622899,0.0001639439702174511,3.053249310774801e-05,0.007393592090440695,0.0002230939491429484,0.0001270695834494355,0.000187563126537078,9.856885049697303e-07,0.003223224747136084,0.003479474314134014,0.0004888092695460012,0.00013143958393477818,0.0007716632404926878,0.07055408021994647,0.00011451911442401102,0.11768906610881535,0.00012990037373951166,0.08241117842690558,0.05044595893909117,0.0042985306087497096,0.00035843329236386274,1.1809122755376905e-06,0.0016231467152688017,0.04555704889981595,0.0008208597374097383,6.466443296389717e-05,1.4983465698656745e-05,0.001558117745374804,0.016747166063766774,0.0005243179334555497,6.193449340339119e-05,0.0002314638181799421,0.00038744011402982553,0.0002707177595842609,0.006307865917146378,0.029637271320720863,4.324312398466265e-05,0.0024709191318382125,1.8370313383345406e-05,0.0010924742478336678,0.0012265598047041836,0.003054002646467536,0.009613355214700569
Computer systems design and related services,0.0003361003551844784,0.02534733315828085,0.006210968011651736,0.0013234902931497864,0.012712252601121963,0.0011470582303783332,0.001975818615087701,0.0008799475403795467,0.011443123134154742,0.005940886987746936,0.00015510753930432332,0.0015886003490598766,0.002340311630121458,0.0008851071761142551,0.001968877409913492,0.014010155745147315,0.00014513620390760917,0.004425185378881765,0.0018035476008024707,0.0011325711508487714,0.002870547450304364,0.03524588965532404,0.004593423065452017,0.0014335092648195135,0.0038407758404189205,0.014661906201269882,0.0011679947388169665,0.001656407396457907,0.0005175435445395684,0.0036182978021295133,0.013991967374813171,0.002652357864146381,0.0014274705543506213,0.013525934056754556,0.01266739119006458,0.010546145389211671,0.00070236751255567,0.0020030760018190773,0.0007765585228122015,0.0035004445758679576,0.006757335979648029,0.002405035871857952,0.0018116793512659968,0.008125204915678919,0.0001027453743003806,0.004495993042417538,0.002857555373191565,0.0027294259695628768,0.004912062588744977,0.003123726742279349,0.00736033728368412,0.021161250511143686,0.005417860660924101,0.02102977163187052,0.001743950037383186,0.009915265668521116,0.0017334901686405634,0.0032009495525472964,0.003970313829463639,0.002707853881572029,0.001604180696387866,0.003536373815002321,0.00598632823613621,0.006032250554678409,0.0028740734777609497,0.01615793560870575
Apparel and leather and allied products,-3.0954608041484394e-08,4.4511882264626936e-06,0.00011937728183024541,-1.2575868288723636e-08,-2.6859862329477505e-08,0.13452080338785946,9.010304759539602e-06,0.0001253716000417783,4.0499719658789925e-08,6.1529057992157795e-06,4.597372419289811e-08,0.001105842525122004,0.00020309371000108904,9.67475853654885e-07,1.1584040094633784e-05,0.0009799227581957382,2.0386598292872313e-06,0.0012010022512238324,0.01129325752350701,1.0915332466851673e-05,1.43837129564293e-08,2.509899585689341e-05,2.197260462892701e-08,1.0282562757288446e-05,0.0002354365792100855,3.5802491519781424e-08,2.0664164875641616e-08,0.00018942188616811572,2.0420831507397138e-08,5.1761622082680616e-08,1.923776885771445e-08,6.058860219952784e-07,1.8898760154415332e-07,0.00027540428236972063,0.00022673345635999156,1.91765648953572e-05,0.002595720222857036,-2.853834597184609e-09,3.492376305201274e-08,9.658419599527857e-05,1.585985204145176e-06,2.153085794821806e-05,3.0372636837509614e-06,0.00039894495617724484,-5.599612330742106e-09,0.002557252687955203,0.000412642735403512,2.552681497772977e-05,0.0005280100194352572,-3.510144093349735e-08,0.000312970749546527,-2.7835043300893216e-08,0.014201872854113671,1.3188797038185908e-08,0.00061061454319322,0.0026468573397094267,-9.187549256512631e-10,2.9241631134072004e-08,1.3695506939414332e-06,5.468795466366206e-09,8.02220884204175e-08,4.3613334280162155e-05,0.004595499111895134,0.00043043638053812464,0.001210969184193908,2.0301961790828985e-09
Nonmetallic mineral products,0.005218774252395577,0.002787410522944369,0.001997395707494744,0.008923857985440084,0.00015909037053630563,0.0011582321235159255,0.11165268471673097,8.889729386446919e-05,8.375363860598481e-05,0.000802207711293768,2.302506717482747e-05,9.42683471369754e-05,0.0021980356386999845,0.0002482500180127554,0.007490176986453613,0.0015832068985454034,6.122081588889624e-05,0.00016905621017866947,0.004822215535080668,0.005517736247568602,2.7062171532842497e-06,0.00013109792284138794,0.0037453292757838952,0.002535849032920205,2.6793626070495294e-05,7.827229230776446e-05,0.0004811046991672225,0.002607443840440306,2.616806021015625e-06,0.00011560630797804837,2.2881325397978853e-05,0.03799725625386234,0.00018371011185008265,0.001152928045206993,0.001991274611746314,0.002041968902068125,0.010134988566309244,2.447181291252928e-05,0.013383430639743515,0.0005944186458470816,0.006076957399352991,0.005406466503568155,0.0074430193687052126,0.00016586811426720283,4.560336526049362e-05,0.0012968178800590866,0.004929733168590008,0.0002559834982832333,0.0008834486969523398,2.78389128191499e-07,0.0008358053417752393,0.003207696789658027,0.0001957505776331408,2.187392982944745e-05,0.0009051364277372307,0.003868141338022349,0.0033398403891927225,0.003647921406962523,0.0012073722177107545,0.0015435179622906574,0.00012304728960260442,0.0004621476897255959,0.0013113761555561686,0.00021555375097592977,0.0017547381441295955,0.0002517582108445518
Farms,0.00018103485141101764,3.214837038046601e-06,2.560513281061596e-06,5.335514288077293e-07,4.892173980174953e-06,0.0006617445002866848,2.069537927039816e-06,0.1574685025240682,6.759516945269864e-06,1.3341678780150615e-06,6.3175046701969026e-09,1.2449025059243076e-05,0.002759833166656588,0.026431687210751745,0.0006050506276125113,0.004639356450367425,-2.7276556328722215e-08,3.369282847196939e-05,0.027947582066577364,0.2303557907801065,3.55437218913013e-07,7.977951083659916e-05,7.427829125940188e-07,0.002518356654065372,8.560586924146815e-07,2.758065446578199e-06,1.1574520321740014e-07,2.553340346363522e-06,4.206919252756072e-08,6.766546960300146e-09,8.479626550051096e-06,0.0013073667796138614,0.0004719131246780013,0.002699577245975786,1.5400522297964315e-07,0.0005929877197379858,6.549953480282907e-07,-6.323397815215195e-09,2.9973438854736384e-07,0.00038451855822744304,6.255079048136978e-07,5.421742728183124e-05,0.008936931090680802,2.3744964941917482e-05,6.665354456877804e-07,9.040719192248854e-05,0.0026338664503221198,5.486364245786463e-07,0.0006278244557025227,6.923093188336335e-07,0.00417935956176111,-1.5392809771811756e-08,4.583641973951659e-05,8.471578704146014e-07,1.0818945557578457e-06,1.161881559451403e-06,0.008816757952550157,0.0004723461806287967,3.070330223778469e-07,2.3381918292567806e-07,9.11658126702736e-06,0.0025226724615800074,2.3347217125087126e-06,0.00034865490935106786,2.1025908637521026e-06,2.9411415204304337e-06
"Federal Reserve banks, credit intermediation, and related activities",0.01970379961908194,0.008255041071358547,0.01144171269046152,0.0051323405045532,0.007335271129136046,0.004298068385000374,0.008204575416167167,0.005192768935226525,0.05184803456592735,0.01209553798034696,0.002530824887039788,0.004763696981153665,0.006135511596615042,0.0020492049090372155,0.00577714000526874,0.010096152698386318,0.02321759596417334,0.016114673174281877,0.004005571985274242,0.00441686314864914,0.008483390971147168,0.03018570533539093,0.005210893667432845,0.002371166111512172,0.013000020338703046,0.07751291243160524,0.0005497054697030846,0.0014128605240028974,0.018106540216296055,0.023237165273094305,0.01377426823578685,0.006784924230476968,0.008345350086076021,0.012687285575496764,0.0037081539743749905,0.015911378542562648,0.0016767338283127974,0.11273202465432353,0.003153574936025307,0.005690092824159231,0.0041921146820039275,0.0067514371463346925,0.002592166950009745,0.013408718666577205,0.04614949476872406,0.017584033664503233,0.005684261551437887,0.014751458402202391,0.01699157700393488,0.05201067093929747,0.010830629874601951,0.011242954023835678,0.004082012453070978,0.0072512798862961955,0.05124540274768341,0.009381034158218813,0.002750074512628868,0.009800357989725452,0.002229870879952391,0.008728339127771286,0.049352831492966036,0.01464137029209075,0.00788138048112355,0.008095950266897927,0.006265400597192529,0.06579750859074161
Nursing and residential care facilities,3.0682225193261688e-09,-4.116062726482787e-08,2.3734531201643943e-06,-3.7940985641867056e-08,4.90629806090387e-08,-1.1812287662249685e-08,1.833663866214181e-08,3.818181818357851e-08,-3.3987686958708213e-09,9.57038445159597e-08,-2.2544088400577198e-08,1.4656885785320952e-07,-4.2882991589995646e-08,-3.79532776665077e-08,-3.467701536156229e-08,3.7395110553636855e-08,-1.7805643971085174e-08,4.9758992344163634e-08,-4.579300978448731e-08,1.6929830408253667e-08,-3.0871485343481917e-08,-2.3424985584204277e-08,2.820398571516518e-08,-1.3779686541256852e-08,2.0071179343138992e-08,4.326454292375463e-08,-1.0221871342618715e-08,-3.5592237340814114e-08,-4.391352659998034e-09,-8.947268507170444e-10,2.967680237944088e-08,1.9317848832139445e-09,1.1749798011172344e-08,-1.5595362900447455e-08,2.780606032583197e-06,3.9083730703439344e-08,-9.796688348195334e-09,3.724404083987971e-08,-2.039206810047731e-08,-1.911253550959866e-08,-1.1466519756438487e-08,-4.502801259371291e-08,2.4360129710481412e-08,4.4506355796797136e-08,-3.728137019597988e-09,-6.963437800515237e-09,-2.5430480946960466e-08,8.8002070927932e-09,-8.162609292837355e-09,1.0085180818495034e-08,4.5788417473206116e-08,-1.407823179768146e-08,3.0480966888687694e-08,2.4598171769241065e-08,-1.13540756749611e-08,3.1315071268111955e-09,1.0851245079973866e-08,-1.001195703142846e-08,1.1846483349182125e-08,-1.1126789083548838e-09,-2.0121948553265943e-08,1.9094168284915865e-09,-9.571619952711291e-09,-2.0654899687426515e-08,2.9760078755578166e-08,-4.1549450150077954e-08
Pipeline transportation,0.0002119939593662839,2.00633767540208e-05,7.0695004728362365e-06,4.205097101709389e-05,1.9927622609498948e-05,9.739358408705563e-06,5.6395666835456676e-05,0.00033199113037376545,0.00013115785907375445,3.181514226005432e-05,1.1385278465669835e-05,1.2543647836647273e-05,5.168643103630269e-05,0.00017131997059760518,4.9547223775408555e-05,6.328912914999743e-05,0.0005930214238849392,9.50984482177008e-06,6.194242133716768e-05,2.569144031139896e-05,2.1712595852685128e-07,4.252403179692088e-05,2.293224275171115e-05,9.538746127411344e-05,9.106215317881482e-06,0.00010103536499894517,2.074055493380435e-06,0.022471207748236428,0.0008309923689984856,0.0006774074277489456,1.973467471966883e-06,0.00023467723220366274,0.0010631420767966695,7.227450478832322e-05,5.224103954633676e-05,1.2009206734477656e-05,5.4307053692412865e-06,0.00031680753579828297,2.984332614009934e-05,7.529474963262898e-05,4.68295101259582e-05,2.9183987398944568e-05,7.3956861795142e-05,4.0010002805492294e-05,8.294453476875872e-07,5.507920820457854e-05,2.514770864168157e-05,0.021032124490694668,2.16826658922772e-05,5.141708876173872e-05,0.00011463709373988195,0.02790942847124123,0.00021312062497326508,1.1872939666358495e-05,6.949790147584222e-05,1.0081829175541842e-05,0.0003955604123866324,0.0005565884133361378,6.445820830281436e-06,1.8036561568749454e-05,6.299355622260518e-05,4.1453239464726366e-05,3.151472360054732e-05,2.980677770343184e-05,0.00020547341933743632,0.0012268851201361491
"Performing arts, spectator sports, museums, and related activities",0.00015632264083911582,0.0008139238759524918,0.0008262402562269076,0.000253804307199055,0.0009181209539497784,0.00012023246709092492,0.0003060210196135596,0.00013755474867811456,0.0016530744322639018,0.0010601105650779026,4.5937868284818615e-08,0.12287790289198475,0.0017524455719994051,2.713925418011603e-05,0.00035327336332673353,0.002576543427644635,4.3153395849246105e-08,0.00025894186825263434,0.00019345111311361147,0.00017345759189101078,0.00025914226683254854,0.004953419199093587,0.000239894645897792,0.00022238550713139102,0.05186905188648009,0.0012755245375011375,1.2584351005854812e-05,0.00014949467872051565,0.000296085577136531,0.0004055284220581788,0.0020894178984234247,7.781521198731767e-05,0.0015440772164319494,0.002388922190007713,0.0010770156493376641,0.003253987922161273,6.431119236411234e-05,0.0002488962877801616,6.006166814512878e-05,0.0009473299205230618,0.00018352677261333368,0.0002453140252115942,0.0003055033652142929,0.0010952634644485187,6.797463175513113e-06,0.003705659278030817,0.00024185391484885484,0.00019168319658915096,0.0005425977174244879,0.0008991855212023477,0.005905156301415698,3.09131732161706e-06,0.000403762829426265,0.0006917134385126005,0.0008375075638335876,0.028981611174512294,6.797469289134603e-05,3.8980826535029785e-08,8.62910784789563e-05,0.0002344013887053953,0.00455441246135269,0.0024366356034580157,0.001353243207653932,0.0011065456362984278,0.0008191617559190522,0.002774442438129039
Food services and drinking places,0.003044267535003326,0.005639157861485711,0.019820760471478623,0.002566579840453034,0.006766544807313983,0.0006464197821818912,0.0017871343825490496,0.0011724948864190645,0.008512150276519427,0.03881692386367493,0.0005420499580517733,0.003540341505181708,0.003690928357390266,0.0007358492855654517,0.0015890578680550188,0.0037893282765095156,0.0005232584570023387,0.003383214702447936,0.0009114879685750043,0.0008533527740547198,0.0030885379765938662,0.005316312501129946,0.0013751837119701494,0.0012851415515203152,0.003127150282568182,0.0062156353747953785,0.0001355755256843322,0.0006986241245385074,0.057935923115031276,0.003998647590323234,0.009332943529237471,0.00026417170683878136,0.007205076014388655,0.015631394381749524,0.014690299167443641,0.009498193579435543,0.0003418924330786298,0.0018291971985711821,0.0005039809898998289,0.035499962209556056,0.0010329600531840263,0.0015910499291236435,0.0014993060309064804,0.0026170003486344065,0.0013445992514798954,0.004716815380131408,0.0015373345404562386,0.0030654473019974308,0.003545383130033273,0.0036951325756987147,0.010907978975092226,0.00010738044529538804,0.002325188763260928,0.0016908961082403966,0.0042663237821471975,0.0022191339667735283,0.0004681672549906,0.00042863585391389545,0.0004872985530115495,0.001384664031193302,0.018055827560134952,0.004282212557231688,0.009760914554096264,0.0041514755198063715,0.005291746621496492,6.291508699065879e-05
"Forestry, fishing, and related activities",1.7024663519342115e-08,9.066448402457031e-09,-2.0430795370408183e-08,-1.1657511277461432e-08,-3.008996087701834e-08,0.006555314496098331,9.32610538810769e-06,0.05321771201025645,2.6250936380331144e-09,3.6557290690619796e-09,1.2509278841662762e-08,-2.6505700189004357e-08,0.0035633906138231647,0.13749493970254612,0.005981038594155614,2.8829391196058803e-07,3.8302530642257986e-08,-8.185561977139485e-09,1.5901314258961511e-06,0.006893782046953044,1.2332267195388228e-08,2.2447004519242833e-05,-1.1084870179839984e-08,0.024914918626140547,1.3682906289083303e-08,2.3634281344164067e-08,-1.2634288297619364e-08,2.3264757467364056e-05,-4.427647043012608e-08,7.17264878796006e-09,7.667081711294851e-09,1.1918091891406169e-07,2.5081417600026332e-05,2.198583411179369e-06,-1.1104011825743788e-08,0.0001433058071963766,-7.811193277636193e-09,-1.9547831679598684e-08,1.4619991979939372e-08,0.001789432416951257,3.211816829428546e-08,0.0004315567247203737,0.08833436517446501,-4.261233248343977e-08,1.6444277086769023e-08,0.00020709148844093905,0.0009436313332126963,2.6773360256768644e-08,1.2536502782040853e-09,5.124371955375769e-09,0.001386931613019532,-2.48536509240286e-08,0.0004428896540859698,2.2207916220045014e-08,-1.7369152530663253e-08,-3.1727460941294815e-08,0.0005856432579844287,0.0005786081666258433,2.611201113854376e-09,3.719678229181558e-08,-2.260509797476495e-08,0.0033771542516167984,1.0892467731359512e-08,0.00025016400186185424,-2.165839643729114e-08,4.3578502692728634e-08
Plastics and rubber products,0.007113582174853869,0.0014972539266111151,0.0066220888708083785,0.003996359839830528,0.001032600573637266,0.0049787246954545936,0.010702761446610549,0.0035048929123042217,0.00030419546456249145,0.005597107850880678,0.0012119109487387645,0.0001544771061482704,0.005856043197784586,0.0018320051308594897,0.07332868675694992,0.005290516496291817,0.0001439413688281137,0.0015568345102221846,0.008925078358064623,0.01912312745114685,8.881428843208424e-05,0.00044193765779794583,0.0071347220782498316,0.018113705415337404,0.0005886209698845099,0.00024673183030887513,0.002559282144831556,0.0006854899363599666,3.3935877923276685e-05,0.0020990338341454,0.0002005116941946403,0.015609996891668613,0.00989330616597118,0.0020573724514760003,0.003799902506291351,0.0032701134558642733,0.039733101685641765,0.000435085934608642,0.012525344110367391,0.0008573546799399838,0.018160790155303502,0.05078872624802114,0.006675596478855049,0.006245853659298629,2.200645830686897e-05,0.005311305996482781,0.03439600348345058,0.00012184460002740833,0.005107750280373479,7.652855449150126e-06,0.0012197797045807302,0.0003610716399044292,0.0074610747281714015,0.0012554448894494346,0.003582775103516771,0.006434071034908833,0.016557782071923988,0.012067811692512696,0.010206053744742677,0.003756694670870804,0.00031717813031879475,0.00833935232700312,0.004863512958213435,0.0022875072052572364,0.0036870413922306397,0.0001750402728004744
