,"Crop and animal production, hunting and related service activities",Forestry and logging,Fishing and aquaculture,Mining and quarrying,"Manufacture of food products, beverages and tobacco products","Manufacture of textiles, wearing apparel and leather products","Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Manufacture of paper and paper products,Printing and reproduction of recorded media,Manufacture of coke and refined petroleum products ,Manufacture of chemicals and chemical products ,Manufacture of basic pharmaceutical products and pharmaceutical preparations,Manufacture of rubber and plastic products,Manufacture of other non-metallic mineral products,Manufacture of basic metals,"Manufacture of fabricated metal products, except machinery and equipment","Manufacture of computer, electronic and optical products",Manufacture of electrical equipment,Manufacture of machinery and equipment n.e.c.,"Manufacture of motor vehicles, trailers and semi-trailers",Manufacture of other transport equipment,Manufacture of furniture; other manufacturing,Repair and installation of machinery and equipment,"Electricity, gas, steam and air conditioning supply","Water collection, treatment and supply","Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",Construction,Wholesale and retail trade and repair of motor vehicles and motorcycles,"Wholesale trade, except of motor vehicles and motorcycles","Retail trade, except of motor vehicles and motorcycles",Land transport and transport via pipelines,Water transport,Air transport,Warehousing and support activities for transportation,Postal and courier activities,Accommodation and food service activities,Publishing activities,"Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",Telecommunications,"Computer programming, consultancy and related activities; information service activities","Financial service activities, except insurance and pension funding","Insurance, reinsurance and pension funding, except compulsory social security",Activities auxiliary to financial services and insurance activities,Real estate activities,Legal and accounting activities; activities of head offices; management consultancy activities,Architectural and engineering activities; technical testing and analysis,Scientific research and development,Advertising and market research,"Other professional, scientific and technical activities; veterinary activities",Administrative and support service activities,Public administration and defence; compulsory social security,Education,Human health and social work activities,Other service activities,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Activities of extraterritorial organizations and bodies
"Crop and animal production, hunting and related service activities",0.3198334706112525,7.5398016257944335e-06,1.3294576838605953e-06,2.333213248413637e-06,0.42369317194803524,0.08536539118905577,0.0001874928624482536,0.0004989176144917489,1.0677495635480931e-05,2.3859169977238583e-05,0.00873243953564215,0.0005183054666433793,0.013333560886587853,0.0004250181630639222,0.00010788241645219338,3.926327523034264e-05,9.82277495268173e-06,0.00010929546804113302,0.00024166764586826107,8.667551959314171e-05,3.2286652664200505e-05,0.0008961180085211958,0.0,2.5258118138528434e-05,2.5199490115684944e-06,0.0,0.00483170213795706,4.2824675108490235e-07,3.3272048096403824e-06,5.4330922710085476e-06,0.025324066005344557,3.092550784123835e-05,5.177255671689737e-07,5.791468503048174e-07,0.0,0.11267263475493196,0.0,0.0,5.212391087979068e-07,5.942395050496535e-07,7.77563582354269e-07,4.389634932519996e-06,0.0,1.2944405646193742e-05,1.9014279396770478e-05,0.00023307295500446108,0.0,0.0,0.0,8.581936730638037e-09,0.0,0.0006625643903518299,0.00183153053857284,0.00018067110577349132,0.0,0.0
Forestry and logging,0.0008259749954733442,0.0025672904804215782,0.0,0.0,0.01987764332221959,0.0012908323243281694,0.4468910517811201,0.10129042500568722,0.00010776290475400712,7.439670869299781e-05,0.004076599370969087,0.0006693212629468244,0.0008234238295167639,0.00030253608178464596,4.6994119629251544e-05,0.00023732703437712207,0.0001660094685682351,2.0392017644849917e-05,0.00023240844394023977,0.0005724358339788667,1.185658080926591e-05,0.06556184257835768,0.0,3.8660461584491426e-05,0.0,0.0,0.3543101597233224,0.0,0.0,0.0,4.655669873201198e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fishing and aquaculture,0.0,0.0,0.017514291031673693,0.0,0.9102980820664451,0.0,0.0,0.0,0.0,0.0,0.015912417298012724,0.0,0.0,0.0,0.0,0.0,1.9571524092561036e-05,0.0,0.0,0.0,3.1659891839182393e-06,0.0,0.0,4.937657122878772e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05625197832487973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mining and quarrying,0.0,0.0,0.0,0.0026009740008546165,0.0011280866824936655,0.00452305090356095,0.0012035289267359468,0.0032185059093045674,6.373762301270289e-06,0.5814680480569633,0.027526825456140026,0.0005321615036423067,0.0003646099063617359,0.04077544736998572,0.19910805053512545,0.007237846993185981,0.0002906050227180481,0.0006337353117004328,0.0014027950026586373,0.0004702416807725848,0.00024320055775388304,0.03078944112329005,0.0,0.055678107297140615,1.4260963578558252e-05,0.0,0.04034306466273467,0.0,0.0,0.0,0.00025284962983839,1.2028319935773748e-07,0.0,0.0,0.0,0.00015706670846257767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.933284498540027e-07,1.0833789434850634e-06,1.643350248379407e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2791539619144395e-05,0.0,0.0
"Manufacture of food products, beverages and tobacco products",0.055224889737859155,7.424330784599013e-06,0.0002992426295274836,0.0004517233512693135,0.5370170842150969,0.01205070914157718,0.0007111796543738817,0.0033123672646066544,0.0008448428387979775,0.0012833839739523714,0.06980030364420903,0.009359830028662582,0.009166254295648237,0.008756898100547696,0.006219216457776347,0.0024770689359322707,0.000222268363722511,0.0006349910128344982,0.0005087886748466431,0.0008458894939822303,0.00016848952818079705,0.002675536447378663,0.0,0.0009797678383958407,5.195651410172608e-05,0.0,0.003182192900096604,1.4821081067421465e-05,0.00011515037169854001,0.00018803248497644394,0.0033708380704859935,0.00012182027302927074,5.331125844915611e-05,5.693864709411778e-05,0.0,0.2659139884516777,0.0,0.0,2.8657177049426176e-05,7.574048395688996e-05,7.241760301554401e-05,0.0010272619553934944,0.0,1.2816144451720751e-05,9.860632967301229e-06,0.00010354119110487107,0.0,0.0,0.0,1.2094654488667451e-05,0.0,0.00013897918526559864,0.00223407102196804,0.00019735993769839067,0.0,0.0
"Manufacture of textiles, wearing apparel and leather products",0.020524720701209743,0.0006718784789031228,0.002031151046503118,0.0013452973643169035,0.012132176255839922,0.6871108694158781,0.002539021156106039,0.003968115881912693,0.0032144623004895603,0.0006924733384388858,0.018793044060820753,0.00481591310166037,0.03220800989466816,0.0065613854609937895,0.00237772131817698,0.0031297416181162276,0.0011165455238697204,0.007025383579246867,0.0031985766973280138,0.01225146662723421,0.00117103534781391,0.022587151483595188,0.0,0.002725509104121634,0.00013807023617065935,0.0,0.02231966074957144,0.0002605727799493588,0.0020244847520724998,0.0033058416597746246,0.08422836342392245,0.0004266968524241011,0.000581295997802933,0.0009300247273555599,0.0,0.01789432981020224,0.0,0.0,0.0002647123009262071,0.0010666236743420634,0.0011675864630569918,0.0009491275600192044,0.0,7.459768682924314e-05,0.00011214185747929011,0.0013604961370265235,0.0,0.0,0.0,1.1761476103313872e-06,0.0,0.0016977724887775754,0.007859162417790356,0.0011456125196526383,0.0,0.0
"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",0.004705583854367278,0.00021914134533046475,0.00015764899612996422,0.005939575039563961,0.08057191470923976,0.035791747453788554,0.03012156003704941,0.02193936776221543,0.0170132760587845,0.0014781284564971758,0.04101814908153823,0.02624786761139387,0.01455413723099921,0.012982348578208241,0.007168752610450766,0.007341164727963721,0.002678802782842631,0.00995976281592825,0.011515360890955404,0.008688207857994361,0.005752646757468554,0.2204471395277601,0.0,0.003827062857976198,0.0001439072261182954,0.0,0.34588170493707004,0.001366995097501823,0.010620682375510804,0.017342829679368985,0.019688462041211826,0.00026356904595735376,0.0013035605051608847,0.0013031512813270734,0.0,0.006266026529869055,0.0,0.0,0.00037059918018466677,0.0011733698603051776,0.0015334179584844197,0.0008618874557033748,0.0,0.00021493600015551697,3.932157189169009e-05,0.0046182302346997476,0.0,0.0,0.0,5.371258381315152e-07,0.0,0.0015505706409659813,0.004405534491551588,0.010931359716677694,0.0,0.0
Manufacture of paper and paper products,0.0018743756838645812,0.0012466928174134093,2.5792686673270402e-06,0.001472063065768188,0.12950035524675038,0.04822107002115956,0.020894991055497105,0.19968951983896086,0.20400110001736885,0.001217044297434503,0.04367237321504392,0.0013329191152640684,0.014946285296075192,0.012848355719930902,0.003311969450412609,0.00548533511591615,0.0027069688553947443,0.012082142962278601,0.0042906015730085866,0.004257742947744908,0.002049896565800944,0.02580517956373657,0.0,0.006064643932928795,0.0006741186250403644,0.0,0.030106019130441978,0.003414557693347435,0.026528941316361018,0.04331990115398541,0.05862938858647613,0.0002978303804201116,0.0004032713912570327,0.012923272932811576,0.0,0.024876112769368845,0.0,0.0,0.0037972444775167045,0.0006256227327881572,0.015513330129603198,0.013782598477085859,0.0,0.00038488517564679405,0.0007061910078012346,0.006926386047749762,0.0,0.0,0.0,7.130871456556339e-06,0.0,0.002747371976646402,0.004137703961174796,0.0032239155365996128,0.0,0.0
Printing and reproduction of recorded media,0.003101044408381449,0.0008551869799633951,3.3233783633551975e-06,0.001791426658785654,0.03453778715634139,0.014829124513586596,0.005564136360363308,0.08149100259229106,0.17755317015571218,0.00038591142107666796,0.018725135239758016,0.003141002017026947,0.012834276949506328,0.005222488954291948,0.002397132097316618,0.002519085760226503,0.0015234327076154629,0.0039771973269636125,0.0022953726649704393,0.003841096294635531,0.0008361305673780805,0.0163213979834609,0.0,0.010093692360791637,0.0010408354876257576,0.0,0.032933774418813885,0.013132918794430862,0.10203442533358795,0.16661506266155782,0.0973855372093989,0.0005414135538121101,0.000614619433613543,0.029822761624876133,0.0,0.015063598504065216,0.0,0.0,0.005937741666802869,0.0074766556731776755,0.035533521675638335,0.037465082333907294,0.0,0.0002834141464498244,0.0026807235587019704,0.005100695151446655,0.0,0.0,0.0,2.1391532905349886e-07,0.0,0.023005801664350487,0.015035062868251124,0.004456585775355312,0.0,0.0
Manufacture of coke and refined petroleum products ,0.028798954018709827,0.00081369020720654,0.00038045590829133795,0.00909665479286836,0.015347477299059933,0.017659699888529296,0.0013696980639683657,0.003994976421233051,0.0012875991792981004,0.04820437584149322,0.06255394688334565,0.004024216833316351,0.008261708652204873,0.038011600797905734,0.04687436180193243,0.006091772095641656,0.0008158919123492332,0.004364766369622157,0.0020141849397180287,0.0030397788143200575,0.0008777219957013361,0.004285830661826911,0.0,0.045175329774677996,0.00018666473177170144,0.0,0.07874699853825803,0.0019020373214505175,0.014777620123556904,0.0241308175629828,0.5046730862153244,0.000765491587632394,0.0021831434708512567,0.001488871544382533,0.0,0.005400153077348701,0.0,0.0,0.0018429677783295868,1.511432880980498e-05,0.0027063987057237655,0.002176089593525104,0.0,6.721609969933207e-06,1.0541142009771007e-05,0.00012599878532655804,0.0,0.0,0.0,5.12230021438228e-07,0.0,0.0011754326457993228,0.004080643831695987,0.000260002022009161,0.0,0.0
Manufacture of chemicals and chemical products ,0.08534578734228823,7.190630527854193e-05,5.2464423654078464e-05,0.008821302928132598,0.02092263803990659,0.07370310494439129,0.005871810862381622,0.010501531061671947,0.008100083739840823,0.016170979860998226,0.38241820506500884,0.04544197076964572,0.12705672268922186,0.016311434191976306,0.01558146768059965,0.005901602820693717,0.0022814671065636317,0.012312672842145298,0.00338969525510952,0.011461729311647687,0.0022510345044625167,0.024107440415956242,0.0,0.003416207244078644,0.000900028301867937,0.0,0.030583473889729512,4.871822763852591e-05,0.0003785096391236977,0.0006180797035134493,0.019038259406725266,0.0015582073728933376,0.00102610433079792,0.0006192731630965029,0.0,0.0017275859012963993,0.0,0.0,7.253259784812344e-05,6.179691207326005e-05,0.0001263425431815911,9.349577313023885e-05,0.0,4.056204829416183e-05,3.0741423374254176e-05,0.0006965259260547585,0.0,0.0,0.0,2.3843851141407875e-06,0.0,0.0024423664187655653,0.057135596213048284,0.001306156416779357,0.0,0.0
Manufacture of basic pharmaceutical products and pharmaceutical preparations,0.037948672939334654,2.3661450943442316e-05,1.9570006906568132e-05,0.003679603228122662,0.039110716897171154,0.07681154617157744,0.015394102038267181,0.011704877839120572,0.005770478091379346,0.007014638440330623,0.23534115976715828,0.3764744588874694,0.05213585179760262,0.008058664311333757,0.009255866832139598,0.0025501765529467382,0.0009931911545338794,0.006225011109529086,0.0018219348697327907,0.004953374987943972,0.001020548840092753,0.02406305177346872,0.0,0.0016727680595556252,0.0005048386391374751,0.0,0.016812833121521334,2.5378120688525647e-05,0.00019717185310121803,0.00032196781610795833,0.004629371019061267,0.00069640145314399,0.0035292045278048747,0.00020457291170210756,0.0,0.024034134962242517,0.0,0.0,2.9773983455221517e-05,4.3754601851352414e-05,5.703019393212895e-05,3.833123371494109e-05,0.0,1.8861808505038013e-05,1.1908868861493817e-05,0.0003745724877423011,0.0,0.0,0.0,6.911333123858587e-07,0.0,0.0010491247110977191,0.02394129914322822,0.0014348513631270582,0.0,0.0
Manufacture of rubber and plastic products,0.011919583187333159,0.0006561038361663797,7.665968216852493e-05,0.005616597577079657,0.03431895122180944,0.0598540673470689,0.007590255138726056,0.007269531290121994,0.008626195991486143,0.00286784394243295,0.0733882568190116,0.022763245230984656,0.26024444922270745,0.05304776723848443,0.006816892603598044,0.018433191277626715,0.005956073578621003,0.02043098988329295,0.015444163291844363,0.054028427220612074,0.006444386829923562,0.0634300662246489,0.0,0.0012535166416621875,0.00018688951187039018,0.0,0.013001031003769741,0.00032018141196417626,0.002487605906401754,0.004062086034252424,0.2168260047090079,0.0008912248353677498,0.004969018172553564,0.0034571674483961376,0.0,0.001644406351579483,0.0,0.0,0.000842981036399375,0.000113555218220371,0.0009998330036273587,0.0009157424898922681,0.0,6.441011203914836e-05,2.068072479742137e-05,0.00040084019409687195,0.0,0.0,0.0,1.8386907951532376e-06,0.0,0.0004985469727744207,0.007265036101585766,0.0005537047931973476,0.0,0.0
Manufacture of other non-metallic mineral products,0.0013553275466126643,1.480429613633484e-05,4.006220698408581e-05,0.0021527867896829686,0.005679708009617506,0.0019344113169028278,0.0004330259234458047,0.0007515974813506916,0.0006028597429114367,0.0009309497036509104,0.006278048464729997,0.0013256691878361065,0.0021415734322318206,0.09217258187605036,0.004576102214654112,0.002434686855888991,0.005941553903893876,0.006252484367005808,0.002962640492178965,0.004352327273949187,0.003678304465387978,0.007043415437048928,0.0,0.0008970046428834023,2.4831126803029028e-05,0.0,0.8326057551575697,2.8912718113946905e-05,0.00022463342856977325,0.0003668106394811413,0.008953706374746951,0.00020020582900424599,7.361496499323444e-05,4.584488599024277e-05,0.0,0.0011217708029893486,0.0,0.0,3.9701245940056886e-05,0.00014937524000165734,8.728631023089587e-05,7.71509258325307e-05,0.0,4.094947540616944e-05,3.763640945772284e-05,0.000521910542285289,0.0,0.0,0.0,1.2558245992686256e-06,0.0,7.844884531041538e-05,0.0007863351257340332,0.0005819384959055372,0.0,0.0
Manufacture of basic metals,0.0005508396655749855,2.4470436310480466e-05,2.3159955252338795e-05,0.0017286662953982241,0.0010104503378651315,0.0016576641485595226,0.0008264344014140398,0.00048339767737088816,0.0004567699619826409,0.0002199382077465177,0.0033694720885403154,0.00025256469817679816,0.0019602670944511348,0.0037448649634355515,0.2620182515492189,0.16217461400601918,0.00937597633399577,0.06150304267093388,0.0967885816244733,0.09665874879356334,0.019487454428210677,0.018676182344018036,0.0,0.0020605449199715274,0.00010181906191902268,0.0,0.23471441582644229,0.0005074604092170383,0.00394264458977049,0.006438062185881838,0.0067685603624673815,8.189859468894264e-05,3.146990511522568e-05,5.290849139367011e-05,0.0,0.00034064383435662997,0.0,0.0,0.00010678394151498628,0.00011184932439578362,0.00032818833033798086,0.00037933462195543865,0.0,5.019163082472043e-05,3.6401936544491033e-05,0.00040728640290684415,0.0,0.0,0.0,3.726232390743e-06,0.0,4.113814493717137e-05,0.0002183406805481282,0.00028451888990825217,0.0,0.0
"Manufacture of fabricated metal products, except machinery and equipment",0.0018194070653501017,0.0001341236378586658,3.605490654415661e-05,0.008875827224245115,0.004140893436936888,0.008027227755331507,0.0025852972119273752,0.0011157355491442618,0.0016313212642441947,0.00023894272858529956,0.0033997249670299984,0.0009251842184042696,0.0064842239780769605,0.006716434118947741,0.10393325672087639,0.07333938269959078,0.01784136853955232,0.05248454185631398,0.08183431674804746,0.1434897571700719,0.01685732955438607,0.05572244814059091,0.0,0.005702786349897197,0.0002510335742849529,0.0,0.30964929642747524,0.0020820233793839562,0.016175997306186372,0.026414269459212655,0.031150825435040597,0.0002255825361601748,0.000287588255318184,0.00021535698820216508,0.0,0.002512186735971264,0.0,0.0,0.0018463399134615805,0.0006471685492759133,0.0016759069806267812,0.001640954333941874,0.0,0.00011541133746774225,0.00012035790943460611,0.0029491469872292946,0.0,0.0,0.0,1.5200017881297155e-05,0.0,0.0003356575295262947,0.001408775491013143,0.0029453350109522316,0.0,0.0
"Manufacture of computer, electronic and optical products",0.0038944772209112306,9.661615948877485e-05,8.146946754006882e-06,0.0028997547270281556,0.00606407861676024,0.008321719056701649,0.0006766187586389137,0.00036616198839009237,0.007770397748312281,0.00031068921603675723,0.0025472862289601887,0.0009861179935439922,0.001740604146305284,0.0013372294196826425,0.005038843312272914,0.017151584596648214,0.31444323789888584,0.06583894056846941,0.03833212565532102,0.04752007955546983,0.02262586981528626,0.09275871756900154,0.0,0.011481948582842355,0.0006159404132812229,0.0,0.019293319328407648,7.1687909029946e-05,0.0005569694515553535,0.0009094920676359893,0.01603318337622877,0.00080922001212659,0.00046173376014881914,0.00428926259253716,0.0,0.017737408052752264,0.0,0.0,0.09866640738660834,0.026843974162251497,0.024288995562288234,0.005263492981981367,0.0,0.0009111413089429417,0.0013330052156346303,0.0680220479207051,0.0,0.0,0.0,0.0007499900279528561,0.0,0.00035936827515733007,0.02165682090655607,0.03891529350650655,0.0,0.0
Manufacture of electrical equipment,0.0024820466538466044,0.00016518784169066545,1.408817393887541e-05,0.0020069715817607075,0.004006513515547969,0.006180618400928106,0.0012069796989796064,0.0005365181134797919,0.000684260616901095,0.00029402756899232096,0.006250378453023376,0.0051537659392507556,0.0049051403243868304,0.0032380829550072445,0.0180405051469256,0.041740867969469284,0.1309659779134575,0.16527431489046301,0.07247471404381456,0.1671751314397538,0.026237458066302836,0.05739692151459096,0.0,0.07209020675764906,0.0002103903738698813,0.0,0.12054669962249015,0.00016284250317419855,0.0012651826665762268,0.0020659545910100955,0.05905415809087159,0.0005916270440559369,0.00043507870352515505,0.0004085105606425626,0.0,0.006061657003262366,0.0,0.0,0.007221541806813359,0.0013386886357073667,0.0018927952543377135,0.000848226593278409,0.0,8.619757865334168e-05,0.00012857161578982287,0.004126790656544199,0.0,0.0,0.0,9.679932982253095e-05,0.0,0.0002113684978017536,0.0017076305490686973,0.003018610742543924,0.0,0.0
Manufacture of machinery and equipment n.e.c.,0.011819171361562065,0.00044088886138521095,7.592330459522509e-06,0.032643321990256546,0.012443023943636151,0.036859328745623705,0.0019683398172392133,0.0017898233595008493,0.001014282798011066,0.001211559339860248,0.014123910176057892,0.0036108357691226538,0.0037551320799236593,0.003970893439848709,0.014533108539391819,0.05038210766118596,0.018754115835702457,0.039781411666808444,0.27693143022066535,0.2580249035096317,0.01806828136351206,0.033528185108555104,0.0,0.019277748229763154,0.0006761860757584111,0.0,0.04165932587582094,0.00029131845899166997,0.002263359121127525,0.0036959067566034874,0.07800992944155245,0.00029246566585105756,6.780876805221758e-05,0.0006558832410946244,0.0,0.011486878585077962,0.0,0.0,0.0012269041492251366,0.00015867788832497407,0.0014753504525227784,0.0008037807044039613,0.0,2.384341891069279e-05,1.8779517775424757e-05,0.0005191658692668579,0.0,0.0,0.0,8.861494383272112e-06,0.0,0.00033727905296727164,0.000919358743648106,0.0004695405709373344,0.0,0.0
"Manufacture of motor vehicles, trailers and semi-trailers",0.011823921650162633,0.0009835355812876645,0.0001251476840697017,0.009999473459583347,0.022005057661935994,0.016797674951335786,0.0024362469544194393,0.00129327481782293,0.0009091133034056106,0.0010714171263125508,0.007974696396844833,0.0019601050188298406,0.015602457928217165,0.006004183941232075,0.02428015044624237,0.015963726752063038,0.006159532991592348,0.013185679555376093,0.036741283107463545,0.4866878782350284,0.012471450525014945,0.013711391257033745,0.0,0.01383612181249305,0.00024067330290814088,0.0,0.05339964006631347,0.0003186816005147722,0.002475953319673676,0.0040430581899115305,0.17448775345505202,0.0006822064095848076,0.0005092669068135113,0.00264732177546545,0.0,0.0063265726609266475,0.0,0.0,0.0015334964334492327,0.003754460775772935,0.006509882396392869,0.008838662254440317,0.0,0.00011969365013788131,6.696848515963831e-05,0.007720801711487408,0.0,0.0,0.0,0.0002195044519032542,0.0,0.0011787495759064427,0.0020269653805488285,0.0008761660398702447,0.0,0.0
Manufacture of other transport equipment,0.006239240289906815,0.0005741834040956707,0.0038425872203151734,0.006222044289826067,0.009531885382276764,0.01104748390862349,0.0017476704360456724,0.000955323676973719,0.0011168979342901996,0.0004662565599865844,0.00628731162215607,0.002832795007998242,0.03020805752354699,0.007616928117894781,0.022230410055639558,0.021292122172872904,0.013595989472373766,0.0208592679718577,0.046221320891600366,0.0755198487016226,0.29910620694482754,0.02789376726585497,0.0,0.007114222862844418,0.00021040799756301488,0.0,0.051712529717864636,0.0003322660783138807,0.0025814960762235804,0.004215402100444426,0.23419012340910003,0.017246852491977317,0.0027264504377371404,0.0010243613822129532,0.0,0.003167403612807122,0.0,0.0,0.0020386300259099596,0.009650673515637809,0.0015804883019012487,0.003542079901608039,0.0,0.0010641137060068335,0.002119832903437622,0.021045156355642504,0.0,0.0,0.0,0.00017925191155985197,0.0,0.0003850533268555226,0.0015644013109784316,0.01690120372278794,0.0,0.0
